,filename,prompt,model,dataset,tn,fp,fn,tp,accuracy,precision_class_0,precision_class_1,recall_class_0,recall_class_1,f1_class_0,f1_class_1,macro_f1,micro_f1,weighted_f1,support
2,dataset_SXall_11288_prompt_P1EN_binary_v1_model_flan-t5-xxl_2024_08_14.csv,P1EN_binary_v1,flan-t5-xxl,SXall,9991,495,702,100,0.89,0.93,0.17,0.95,0.12,0.94,0.14,0.54,0.89,0.89,[10486   802]
7,dataset_SXall_11288_prompt_P1EN_binary_v1_model_flan-t5-xl_2024_08_14.csv,P1EN_binary_v1,flan-t5-xl,SXall,8833,1653,577,225,0.8,0.94,0.12,0.84,0.28,0.89,0.17,0.53,0.8,0.84,[10486   802]
9,dataset_SXall_11288_prompt_P1EN_binary_v1_model_flan-t5-large_2024_08_14.csv,P1EN_binary_v1,flan-t5-large,SXall,8458,2028,574,228,0.77,0.94,0.1,0.81,0.28,0.87,0.15,0.51,0.77,0.82,[10486   802]
21,dataset_SXall_11288_prompt_P1FR_binary_v1_model_flan-t5-large_2024_08_16.csv,P1FR_binary_v1,flan-t5-large,SXall,9225,1254,677,125,0.83,0.93,0.09,0.88,0.16,0.91,0.11,0.51,0.83,0.85,[10479   802]
4,dataset_SXall_11288_prompt_P1FR_binary_v1_model_flan-t5-xl_2024_08_14.csv,P1FR_binary_v1,flan-t5-xl,SXall,10367,119,777,25,0.92,0.93,0.17,0.99,0.03,0.96,0.05,0.51,0.92,0.89,[10486   802]
5,dataset_SXall_11288_prompt_P1FR_binary_v1_model_flan-t5-xxl_2024_08_14.csv,P1FR_binary_v1,flan-t5-xxl,SXall,8770,1716,542,260,0.8,0.94,0.13,0.84,0.32,0.89,0.19,0.54,0.8,0.84,[10486   802]
0,dataset_SXall_11288_prompt_P2EN_binary_v1_model_flan-t5-xxl_2024_08_14.csv,P2EN_binary_v1,flan-t5-xxl,SXall,9404,1082,601,201,0.85,0.94,0.16,0.9,0.25,0.92,0.19,0.56,0.85,0.87,[10486   802]
18,dataset_SXall_11288_prompt_P2EN_binary_v1_model_flan-t5-large_2024_08_14.csv,P2EN_binary_v1,flan-t5-large,SXall,7225,3261,348,454,0.68,0.95,0.12,0.69,0.57,0.8,0.2,0.5,0.68,0.76,[10486   802]
14,dataset_SXall_11288_prompt_P2EN_binary_v1_model_flan-t5-xl_2024_08_14.csv,P2EN_binary_v1,flan-t5-xl,SXall,8956,1530,600,202,0.81,0.94,0.12,0.85,0.25,0.89,0.16,0.53,0.81,0.84,[10486   802]
8,dataset_SXall_11288_prompt_P2EN_binary_v2_model_flan-t5-xxl_2024_08_14.csv,P2EN_binary_v2,flan-t5-xxl,SXall,9273,1213,593,209,0.84,0.94,0.15,0.88,0.26,0.91,0.19,0.55,0.84,0.86,[10486   802]
10,dataset_SXall_11288_prompt_P2EN_binary_v2_model_flan-t5-large_2024_08_14.csv,P2EN_binary_v2,flan-t5-large,SXall,6763,3723,300,502,0.64,0.96,0.12,0.64,0.63,0.77,0.2,0.49,0.64,0.73,[10486   802]
